order_id,customer_id,product_id,location_id,rep_id,order_date,ship_date,quantity,unit_price,revenue,cost,discount_pct,status,region,custmer_id,_region_mismatch_flag
ORD-00654,CUST-361,PROD-042,,,17-Nov-2024,23-Nov-2024,2,$49.94,66.09,51.33,,Cancelled,,,
ORD-02223,CUST-246,PROD-160,LOC-016,REP-059,06/25/2023,08-Jul-2023,31,206.04,6048.72,3768.28,0.053,Completed,North,,
ORD-01504,CUST-788,PROD-154,LOC-085,REP-007,02/18/2023,20-Feb-2023,18,269.95,3110.8,2413.88,0.3598,Completed,East,,
ORD-03259,CUST-512,PROD-159,LOC-021,REP-010,2023-12-09,2023-12-14,34,483.67,14420.43,6826.22,0.1231,Completed,East,,
ORD-03650,CUST-244,PROD-130,LOC-015,REP-047,03/24/2023,04/04/2023,36,268.08,8495.67,6308.18,0.1197,Pending,West,,
ORD-01345,CUST-420,PROD-041,LOC-072,REP-071,2023-11-07,09-Nov-2023,36,84.11,1961.51,912.7,0.3522,Completed,Central,,
ORD-01216,CUST-285,PROD-156,LOC-100,REP-016,10-May-2024,17-May-2024,1,336,327.33,160.37,0.0259,Completed,South,,
ORD-01761,CUST-920,PROD-122,LOC-046,REP-002,2024-05-16,2024-05-19,2,99,133.21,82.0,0.333,Pending,North,,
ORD-02230,C560,PROD-038,LOC-016,REP-046,2024-11-26,2024-11-27,16,$437.48,4684.19,2383.27,0.3308,Returned,Central,,
ORD-01145,CUST-151,PROD-037,,,2024-09-22,03-Oct-2024,31,108.61,3363.21,1657.16,,Completed,,,
ORD-00152,CUST-192,PROD-171,,,08/11/2024,15-Aug-2024,46,76.07,2898.4,1872.15,,Completed,,,
ORD-00578,CUST-744,PROD-164,,,2023-05-29,08-Jun-2023,10,$419.62,2932.72,1657.51,,Completed,,,
ord-01392,C201,PROD-084,LOC-034,,30-Sep-2023,2023-10-09,24,257,5793.86,2784.73,0.0639,Pending,,,
ORD-04638,CUST-402,PROD-156,LOC-082,REP-039,2023-02-07,02/09/2023,9,150,900.93,464.88,0.3357,Pending,East,,
ORD-04727,CUST-879,PROD-047,LOC-009,REP-072,04-May-2024,18-May-2024,49,52,2503.19,1878.2,0.0262,Completed,South,,
ORD-04023,CUST-614,PROD-134,LOC-031,REP-062,2024-10-06,10/20/2024,37,90,2043.66,1433.44,0.3929,Completed,West,,
ORD-00502,CUST-332,PROD-176,,,2023-07-20,29-Jul-2023,40,498.55,15760.16,7831.63,,Completed,,,
ORD-00131,CUST-106,PROD-038,LOC-033,REP-026,06-Jun-2024,06/10/2024,50,177.94,7254.17,4589.55,0.291,Returned,South,,
ORD-02940,CUST-799,PROD-124,,,31-Aug-2024,2024-09-11,43,391.96,16478.43,10811.88,,Completed,,,
ORD-00590,CUST-725,PROD-198,,,2023-02-08,02/19/2023,25,136,2464.02,1877.21,,Completed,,,
ORD-00228,CUST-017,PROD-002,,,01-Jun-2024,2024-06-09,24,$34.92,624.29,482.93,,Returned,,,
ORD-03430,CUST-281,PROD-047,,,2024-04-15,24-Apr-2024,42,216.11,8999.47,6784.3,,Pending,,,
ORD-03427,CUST-607,PROD-172,LOC-027,REP-023,05/21/2023,2023-05-27,18,95,1481.07,1116.94,0.1385,Completed,Central,,
ORD-01913,CUST-457,PROD-034,LOC-008,REP-023,2024-08-19,02-Sep-2024,18,54.38,917.08,721.68,0.0631,Cancelled,Central,,
ORD-00492,CUST-369,PROD-116,,,2023-11-28,08-Dec-2023,16,283,4151.52,2932.15,,Cancelled,,,
ORD-01891,CUST-960,PROD-161,LOC-085,REP-009,11/18/2023,2023-11-30,18,396.42,7007.12,3695.33,0.018,Completed,South,,
ORD-02878,CUST-439,PROD-085,LOC-098,REP-028,2023-08-03,13-Aug-2023,10,13.05,128.82,69.54,0.0129,Returned,East,,
ORD-01816,C954,PROD-091,LOC-091,REP-047,19-May-2024,21-May-2024,49,$224.26,10148.1,4583.43,0.0765,Completed,North,,
ORD-01607,CUST-353,PROD-105,LOC-081,REP-010,2024-07-11,07/22/2024,10,219.90,1965.03,1401.93,0.1064,Completed,West,,
ORD-01481,CUST-053,PROD-152,LOC-039,REP-033,08/20/2023,03-Sep-2023,2,219,391.67,303.93,0.1089,Completed,West,,
ORD-04879,CUST-210,PROD-180,,,17-Apr-2024,04/29/2024,10,$262.65,2284.79,1487.74,,Completed,,,
ORD-01201,CUST-750,PROD-105,LOC-003,REP-042,2024-10-13,10/14/2024,40,115,3507.7,2109.34,0.2439,Completed,,,
ORD-03166,CUST-654,PROD-172,LOC-099,REP-005,2023-05-11,05/17/2023,1,201.08,166.13,127.02,0.1738,Pending,West,,
ORD-01011,CUST-794,PROD-081,LOC-064,REP-007,2024-04-26,2024-04-28,27,363,8724.11,6119.76,0.1099,Completed,Central,,
ORD-03283,CUST-090,PROD-068,LOC-033,REP-028,02-Aug-2024,13-Aug-2024,31,105.08,3001.77,1484.15,0.0785,Returned,West,,
ORD-03065,CUST-426,PROD-123,,,08/15/2024,08/28/2024,29,446,7861.02,5185.88,,Completed,,,
ORD-01963,CUST-959,PROD-051,,,08-Mar-2024,03/15/2024,2,370.06,519.49,354.55,,Completed,,,
ORD-00897,CUST-180,PROD-135,LOC-094,REP-040,10/08/2023,2023-10-09,7,191.69,821.87,453.22,0.3875,Completed,North,CUST-9944,
ORD-04564,CUST-119,PROD-147,LOC-089,REP-006,09/27/2024,10/08/2024,44,146,5191.89,2153.95,0.1934,Completed,East,,
ORD-04858,CUST-968,PROD-043,LOC-042,REP-039,05-Oct-2024,07-Oct-2024,45,$182.47,7355.55,5858.11,0.1042,Completed,Central,,
ORD-03569,CUST-502,PROD-112,LOC-046,REP-044,12/20/2024,01-Jan-2025,16,$469.66,7126.06,5329.86,0.0517,Completed,South,,
ORD-04520,C236,PROD-200,LOC-065,,2024-01-06,01/17/2024,42,$306.28,9234.89,6230.59,0.2821,Pending,,,
ORD-02827,CUST-548,PROD-182,,,09-Aug-2024,08/15/2024,33,$476.41,14830.12,7343.33,,Completed,,,
ORD-05000,CUST-736,PROD-192,LOC-048,REP-046,12/21/2024,30-Dec-2024,27,419,11210.11,8091.89,0.0107,Completed,Central,,
ORD-04275,CUST-608,PROD-181,LOC-073,REP-049,04/10/2023,15-Apr-2023,42,153.39,4756.41,2411.8,0.2617,Pending,North,,
ORD-04294,CUST-264,PROD-125,LOC-043,REP-046,12/13/2024,12/17/2024,1,436,271.81,170.68,0.378,Completed,East,CUST-9158,
ORD-01670,CUST-903,PROD-044,,,30-Nov-2023,12/03/2023,12,81.82,606.68,463.42,,Completed,,,
ORD-01996,C007,PROD-126,LOC-011,REP-018,09/07/2024,09/14/2024,21,89.51,1242.11,903.15,0.3392,Completed,East,,
ORD-01437,CUST-946,PROD-175,LOC-078,REP-074,2023-11-12,2023-11-26,31,258.16,6767.3,5065.08,0.1544,Pending,Central,,
ORD-02706,CUST-856,PROD-159,LOC-073,REP-049,04-Dec-2024,12/06/2024,41,$406.22,14285.01,9359.75,0.1423,Completed,West,,
ORD-02154,CUST-610,PROD-012,LOC-022,REP-024,2023-02-15,02/24/2023,1,334,210.93,132.05,0.3689,Returned,South,CUST-9514,
ORD-03438,C235,PROD-103,LOC-097,REP-046,01/27/2023,02/06/2023,27,251,5859.04,3919.75,0.137,Cancelled,West,,
ORD-04501,CUST-461,PROD-152,LOC-003,REP-029,2024-10-15,2024-10-29,44,$217.14,8289.19,5403.87,0.1324,Completed,East,,
ORD-01613,CUST-884,PROD-162,,,2023-03-24,03/29/2023,41,305.23,8220.73,4345.13,,Completed,,,
ORD-04840,CUST-151,PROD-069,LOC-100,REP-039,2024-07-28,2024-08-09,4,135,405.21,199.55,0.25,Pending,West,,
ORD-00682,CUST-987,PROD-185,,,2023-06-13,18-Jun-2023,9,$19.43,119.63,61.14,,Completed,,,
ORD-01832,CUST-712,PROD-153,,,04/13/2024,2024-04-19,23,262.73,5854.86,3423.79,,Completed,,,
ORD-00169,CUST-461,PROD-120,,,06/22/2024,29-Jun-2024,50,$207.67,7995.3,3598.93,,Completed,,,
ORD-01872,C662,PROD-012,LOC-098,REP-046,16-Mar-2024,03/23/2024,44,$165.34,6727.16,3950.27,0.0753,Completed,North,,
ORD-00531,CUST-644,PROD-143,,,09-Apr-2024,04/16/2024,29,44,976.59,486.23,,Completed,,,
ORD-03837,CUST-521,PROD-119,LOC-072,REP-032,2024-12-07,12/11/2024,27,206.89,3744.87,1979.84,0.3296,Completed,East,,
ORD-04530,CUST-350,PROD-184,LOC-024,REP-017,04/17/2023,27-Apr-2023,29,487,9939.87,5014.61,0.2969,Cancelled,West,,
ORD-03426,CUST-990,PROD-038,,,01/15/2024,2024-01-29,5,14.24,52.03,37.54,,Completed,,,
ORD-00684,CUST-973,PROD-199,,,05/24/2023,05/28/2023,8,$287.63,1840.6,825.06,,Pending,,,
ORD-04435,CUST-038,PROD-074,LOC-014,REP-038,07/13/2024,2024-07-25,47,407,18263.29,10711.44,0.0461,Completed,Central,,
ORD-03230,CUST-776,PROD-048,LOC-071,REP-004,2023-05-12,2023-05-23,21,105,2107.83,1601.14,0.0467,Cancelled,Central,,
ORD-02776,CUST-392,PROD-172,LOC-018,REP-022,05-Nov-2023,18-Nov-2023,7,270,1215.07,904.96,0.3591,Cancelled,East,,
ORD-04304,CUST-489,PROD-195,LOC-060,REP-020,2023-10-26,2023-10-31,6,$217.31,970.72,726.52,0.2555,Completed,North,,
ORD-03553,C959,PROD-065,LOC-045,REP-059,12/31/2023,2024-01-03,37,$199.38,6363.45,3249.13,0.1374,Completed,West,,
ORD-02819,CUST-509,PROD-052,LOC-090,REP-010,08-Nov-2024,11/11/2024,35,$406.50,11007.82,7823.2,0.2263,Completed,Central,CUST-9413,
ORD-00882,CUST-994,PROD-039,LOC-081,REP-052,31-Dec-2023,08-Jan-2024,12,$472.81,5407.62,3277.96,0.0469,Completed,,CUST-9777,
ORD-00625,CUST-455,PROD-189,LOC-083,REP-003,10/04/2024,2024-10-05,19,211.19,2917.17,2254.06,0.273,Completed,,,
ORD-01425,CUST-920,PROD-178,,,09/11/2024,2024-09-21,2,$221.86,378.63,257.31,,Completed,,,
ORD-01966,CUST-956,PROD-063,LOC-030,REP-023,2024-09-18,09/19/2024,4,$228.30,718.14,411.41,0.2136,Returned,,CUST-9879,
ORD-04255,CUST-874,PROD-167,,,29-Sep-2023,10/04/2023,4,359,1170.0,480.55,0.187,Pending,,,
ord-02922,CUST-769,PROD-068,LOC-051,REP-039,2024-02-02,2024-02-05,22,$17.13,271.72,172.54,0.279,Pending,East,,
ORD-04914,CUST-866,PROD-154,LOC-005,REP-075,12-Feb-2024,2024-02-18,26,84,1677.51,785.81,0.232,Cancelled,East,,
ORD-03948,CUST-948,PROD-048,LOC-038,REP-053,07/17/2024,2024-07-23,19,$21.05,283.28,120.92,0.2917,Completed,East,,
ORD-02751,CUST-137,PROD-045,LOC-046,REP-047,2024-09-21,2024-09-26,16,333.29,3586.2,2380.18,0.3275,Pending,West,,
ORD-00030,CUST-518,PROD-126,,,09-Jun-2023,2023-06-14,19,$304.39,4123.57,1985.25,,Pending,,,
ORD-00066,CUST-742,PROD-151,,,2023-05-03,15-May-2023,35,475.68,12052.07,5744.21,,Pending,,,
ORD-00352,CUST-123,PROD-175,LOC-049,REP-068,04/26/2024,27-Apr-2024,41,293.87,7497.89,3212.74,0.3777,Returned,Central,,
ORD-03263,CUST-186,PROD-111,LOC-040,REP-029,05-Jul-2023,06-Jul-2023,38,$339.41,12287.52,8851.75,0.0473,Pending,West,,
ORD-00788,CUST-465,PROD-099,,,2024-02-16,18-Feb-2024,40,377.22,13682.52,8754.49,,Pending,,,
ORD-02630,C258,PROD-082,LOC-030,REP-013,2023-08-27,09/06/2023,39,134,4694.9,3426.93,0.1033,Pending,Central,,
ORD-02315,CUST-639,PROD-069,LOC-073,REP-050,2024-09-05,09/14/2024,18,$198.75,2499.96,1324.55,0.3012,Completed,West,,
ORD-03754,CUST-322,PROD-145,LOC-058,REP-005,09/07/2024,09/12/2024,48,12,513.83,341.56,0.1175,Completed,South,,
ORD-00912,CUST-195,PROD-073,,,06/15/2023,2023-06-18,23,$374.81,8600.8,6480.11,,Pending,,CUST-9221,
ORD-01245,CUST-157,PROD-049,LOC-099,REP-019,29-Jun-2024,07/07/2024,42,334,9718.13,6120.24,0.308,Completed,Central,,
ORD-01500,CUST-789,PROD-188,LOC-006,REP-059,10/08/2023,2023-10-17,26,445,6976.41,4499.68,0.3975,Pending,West,,
ORD-00280,CUST-292,PROD-200,,,03/15/2024,03/21/2024,9,127,852.68,425.71,,Pending,,,
ord-04311,CUST-433,PROD-130,,,12-May-2024,24-May-2024,49,239,9235.52,5826.71,,Returned,,,
ORD-00240,CUST-612,PROD-154,LOC-042,REP-050,17-Mar-2024,2024-03-25,36,279.60,8422.89,3457.64,0.1632,Completed,North,,
ORD-04863,CUST-442,PROD-026,LOC-055,,13-Jun-2024,20-Jun-2024,8,394.41,2632.45,1781.99,0.1657,Returned,,,
ORD-03245,CUST-873,PROD-040,LOC-016,REP-024,2024-02-16,2024-02-17,1,337.74,277.05,217.47,0.1797,Completed,Central,,
ORD-02345,CUST-564,PROD-132,LOC-057,REP-053,2024-09-15,2024-09-28,46,$315.46,13537.46,9891.95,0.0671,Completed,East,,
ORD-02132,CUST-140,PROD-003,,,2024-04-06,2024-04-09,36,260,8252.34,3451.77,,Completed,,,
ORD-01492,CUST-153,PROD-181,,,04-Mar-2024,03/17/2024,16,398.16,4212.21,2807.45,,Completed,,,
ORD-03266,CUST-211,PROD-161,LOC-024,REP-053,05/02/2023,2023-05-04,44,$171.14,5488.73,2405.98,0.2711,Cancelled,West,CUST-9790,
ORD-01221,C903,PROD-014,LOC-041,REP-010,11/07/2023,11/08/2023,14,117.66,1261.29,797.78,0.2343,Completed,Central,,
ORD-02901,CUST-304,PROD-170,LOC-065,REP-059,02-Jan-2023,2023-01-12,48,141.07,6642.03,5311.83,0.0191,Completed,North,,
ORD-00585,CUST-823,PROD-048,LOC-015,,09/05/2024,16-Sep-2024,8,$355.50,2707.49,2010.52,0.048,Completed,,,
ORD-02064,CUST-811,PROD-132,LOC-087,REP-054,2024-12-20,12/25/2024,47,305,11273.72,6374.72,0.2143,Completed,West,,
ORD-02705,CUST-428,PROD-129,LOC-017,REP-020,13-Oct-2024,16-Oct-2024,11,333,3474.58,2418.38,0.0536,Completed,South,,
ORD-02296,CUST-707,PROD-088,LOC-017,REP-050,14-Sep-2024,15-Sep-2024,44,244.22,7221.1,5378.33,0.328,Completed,,CUST-9907,
ORD-02232,CUST-600,PROD-019,LOC-017,REP-048,02/09/2023,2023-02-16,26,404.36,7972.28,5181.76,0.2417,Completed,East,,
ORD-03743,CUST-676,PROD-084,LOC-063,REP-037,06-Mar-2024,2024-03-14,1,232,223.32,145.51,0.0403,Completed,West,,
ORD-01673,CUST-592,PROD-199,LOC-064,REP-015,13-Aug-2023,08/16/2023,26,148,2405.69,1511.78,0.3768,Completed,East,,
ORD-00795,C655,PROD-058,,,2024-03-04,03/10/2024,11,56.90,406.58,310.72,,Completed,,,
ORD-03027,CUST-452,PROD-075,LOC-006,REP-047,16-Nov-2024,11/27/2024,11,32.80,348.75,179.15,0.0334,Completed,South,,
ORD-00034,C948,PROD-061,,,2024-11-13,2024-11-15,23,391,5814.55,3270.98,,Pending,,,
ORD-03969,CUST-667,PROD-158,,,05/07/2024,2024-05-18,9,180.13,1613.39,670.59,,Completed,,CUST-9709,
ORD-02155,CUST-266,PROD-139,LOC-074,REP-005,03/21/2023,2023-03-27,50,413,18200.64,13205.28,0.1197,Pending,East,,
ORD-04100,CUST-360,PROD-044,LOC-047,REP-053,2023-09-15,09/25/2023,30,195,4009.02,2077.78,0.3168,Cancelled,West,,
ORD-01026,CUST-295,PROD-188,LOC-001,,2024-12-09,12/14/2024,32,106.82,2343.89,1263.48,0.3143,Completed,,,
ORD-01264,CUST-121,PROD-191,LOC-036,REP-066,10/05/2024,2024-10-19,37,205,4590.84,2668.55,0.3971,Completed,West,,
ORD-00473,CUST-186,PROD-050,,,05-Dec-2023,12/07/2023,49,$476.06,22804.42,16197.09,,Completed,,,
ORD-02535,CUST-557,PROD-154,LOC-097,REP-024,27-Jun-2023,07/06/2023,42,491.29,18729.65,12728.82,0.0923,Completed,East,,
ORD-01130,CUST-392,PROD-005,LOC-064,REP-051,04/06/2023,04/10/2023,27,282.69,6157.24,4698.38,0.1933,Completed,South,CUST-9488,
ORD-02270,CUST-309,PROD-005,LOC-017,REP-048,2024-01-20,2024-01-21,24,119,2861.58,2002.01,0.0054,Completed,Central,,
ORD-03425,CUST-021,PROD-062,LOC-028,REP-005,05/13/2024,2024-05-27,9,42,311.18,166.55,0.1795,Pending,North,,
ORD-04464,CUST-459,PROD-101,,,03-Dec-2023,2023-12-10,40,158,5958.81,2606.81,,Completed,,,
ORD-03631,C822,PROD-020,,,2023-11-19,11/21/2023,5,$338.83,1261.8,924.61,,Returned,,,
ORD-04498,CUST-542,PROD-137,LOC-080,REP-022,25-Jan-2024,26-Jan-2024,26,35,752.1,494.55,0.1817,Completed,West,,
ORD-04867,CUST-628,PROD-051,,,08/31/2024,2024-09-07,29,493.05,9414.1,4793.1,,Completed,,,
ORD-02553,CUST-412,PROD-170,LOC-083,REP-045,07-Mar-2023,2023-03-18,33,198.76,4918.0,2937.83,0.2502,Completed,North,,
ORD-03341,CUST-364,PROD-050,,,08/08/2023,15-Aug-2023,15,86,1285.65,725.67,,Completed,,,
ORD-00291,CUST-393,PROD-039,,,2023-08-22,09/03/2023,33,6,135.84,55.0,,Completed,,,
ORD-01341,CUST-589,PROD-051,LOC-020,REP-053,01/31/2024,10-Feb-2024,43,$90.31,2355.24,1583.31,0.3935,Pending,,,
ORD-01789,CUST-688,PROD-192,LOC-018,REP-063,01/05/2024,11-Jan-2024,33,160.61,3270.71,1910.84,0.3829,Completed,North,,
ORD-03216,CUST-898,PROD-141,LOC-077,REP-053,07-Jul-2024,07/14/2024,28,$8.90,-230.29,147.09,0.0759,Completed,West,,
ORD-02979,CUST-509,PROD-151,LOC-037,REP-075,12/14/2024,2024-12-18,4,$357.32,916.74,369.83,0.3586,Completed,South,,
ORD-04966,CUST-371,PROD-065,LOC-020,REP-021,05/14/2024,05/22/2024,31,448.25,13159.28,9354.65,0.053,Completed,North,,
ORD-02943,CUST-582,PROD-126,LOC-060,REP-030,2023-11-01,03-Nov-2023,35,399.17,12991.59,6856.83,0.0701,Pending,Central,,
ORD-02941,CUST-978,PROD-100,,,16-Sep-2024,09/17/2024,11,461.54,3904.67,2636.58,,Completed,,,
ORD-02314,CUST-411,PROD-079,LOC-060,REP-074,2024-01-29,2024-02-10,5,493,2271.43,1565.78,0.08,Completed,East,,
ORD-04826,C690,PROD-104,LOC-063,REP-010,08/22/2024,2024-09-01,3,456.15,1193.15,664.78,0.1281,Completed,South,,
ORD-02303,CUST-863,PROD-011,LOC-032,REP-052,2024-03-06,2024-03-09,24,286.74,6874.88,5296.26,0.001,Returned,North,,
ORD-01176,CUST-046,PROD-055,,,2023-01-02,01/12/2023,39,377,9326.62,6139.07,,Completed,,,
ORD-03829,CUST-522,PROD-094,LOC-084,REP-022,23-Aug-2024,06-Sep-2024,8,87,561.31,350.75,0.1962,Pending,Central,,
ORD-03310,CUST-680,PROD-040,LOC-058,REP-057,01/13/2024,01/27/2024,22,$256.61,5469.85,2323.6,0.0311,Pending,South,,
ORD-03399,CUST-862,PROD-150,LOC-020,REP-015,04-Nov-2023,11/07/2023,32,$390.86,9540.74,4810.22,0.2372,Completed,East,,
ORD-03474,CUST-086,PROD-068,LOC-046,REP-049,11/27/2024,01-Dec-2024,4,51,169.77,134.29,0.1704,Completed,South,,
ORD-03051,CUST-928,PROD-102,LOC-054,REP-010,07/10/2024,07/22/2024,1,$248.31,164.13,102.26,0.339,Completed,North,,
ORD-01648,CUST-049,PROD-051,,,22-Nov-2024,12/01/2024,37,41,1033.56,791.24,,Completed,,,
ORD-03634,C124,PROD-148,LOC-008,REP-016,2023-11-12,23-Nov-2023,20,273.80,5300.22,2642.59,0.0321,Cancelled,Central,,
ORD-03317,CUST-058,PROD-087,,,17-Oct-2023,2023-10-31,24,474,8228.62,3956.18,,Completed,,,
ORD-03498,CUST-450,PROD-187,LOC-014,REP-068,17-Jul-2023,07/29/2023,7,$249.04,1133.83,762.41,0.3496,Returned,South,,
ORD-01868,CUST-458,PROD-024,LOC-072,,22-May-2024,2024-05-31,23,460,9985.13,4474.33,0.0568,Completed,,,
ORD-04096,CUST-819,PROD-081,LOC-077,REP-032,2024-03-05,2024-03-13,18,$9.76,120.38,50.49,0.3148,Pending,West,,
ORD-02233,CUST-139,PROD-192,,,18-Aug-2024,2024-08-23,37,$409.22,9280.0,6886.95,,Pending,,,
ORD-00347,CUST-414,PROD-170,LOC-041,REP-018,07/12/2023,2023-07-15,34,$383.91,8355.19,6033.88,0.3599,Returned,Central,,
ORD-01671,C333,PROD-168,,,12/01/2023,12/12/2023,38,42,1412.42,877.47,,Completed,,,
ORD-04544,C430,PROD-046,LOC-053,REP-006,2024-07-22,2024-07-30,9,264,1497.39,741.51,0.3715,Returned,East,,
ORD-04292,CUST-157,PROD-066,LOC-100,REP-028,08-Jul-2024,2024-07-17,20,$357.51,5856.73,3662.06,0.1809,Completed,,,
ord-04884,CUST-637,PROD-073,LOC-003,REP-063,2023-03-20,03/31/2023,42,5,217.18,148.03,0.0113,Completed,North,,
ORD-00945,CUST-640,PROD-074,LOC-045,REP-014,02-Jul-2023,09-Jul-2023,34,170.75,5384.6,3069.75,0.0725,Returned,East,,
ORD-01808,CUST-460,PROD-159,,,2023-12-05,2023-12-11,4,225,741.81,378.83,,Completed,,,
ORD-04024,CUST-250,PROD-139,LOC-064,REP-047,12/25/2023,31-Dec-2023,41,326.54,9916.6,5077.87,0.2593,Returned,Central,,
ORD-01895,CUST-770,PROD-184,LOC-056,REP-052,04/09/2023,2023-04-12,47,332,14691.85,6307.46,0.0599,Completed,South,,
ORD-03577,CUST-004,PROD-184,LOC-036,REP-033,02/04/2023,2023-02-18,46,198,6755.71,4520.85,0.2614,Completed,North,,
ORD-01469,CUST-499,PROD-103,LOC-060,REP-060,26-Oct-2024,11/08/2024,20,201,3795.03,2884.99,0.0569,Returned,East,,
ORD-02111,CUST-694,PROD-153,LOC-098,,12/07/2024,16-Dec-2024,8,390,2537.99,1862.67,0.188,Completed,,,
ORD-02938,CUST-802,PROD-057,LOC-029,REP-006,12/21/2024,01/02/2025,35,220.33,7362.99,5807.91,0.0452,Completed,East,,
ORD-04801,CUST-201,PROD-027,LOC-100,,11/13/2023,24-Nov-2023,41,$189.77,4765.6,1957.33,0.3875,Completed,,,
ORD-01783,CUST-387,PROD-137,,,12-Jan-2024,01/25/2024,36,$381.30,11365.79,7038.76,,Completed,,,
ORD-04056,CUST-079,PROD-171,LOC-090,REP-062,05-Feb-2023,07-Feb-2023,43,$216.15,6425.25,2971.64,0.3087,Cancelled,South,,
ORD-00085,CUST-290,PROD-186,,,03/13/2023,2023-03-18,50,396,16515.28,12777.86,,Completed,,,
ORD-00880,CUST-224,PROD-192,LOC-026,REP-002,2024-04-13,04/24/2024,11,$290.69,2632.26,1560.87,0.1768,Returned,South,,
ORD-02408,CUST-404,PROD-132,LOC-084,REP-026,04-Nov-2024,2024-11-06,27,$52.61,931.54,623.69,0.3442,Completed,North,,
